Ano,Média,Mínima,Máxima,Variação_Média,Produto
1987,18.530929203539824,15.03,20.95,,petroleo
1988,14.957158469945355,11.2,17.95,-19.285437305064,petroleo
1989,18.268821917808218,16.05,22.25,22.14099325428196,petroleo
1990,23.70397260273973,14.68,41.45,29.750964289784854,petroleo
1991,20.02205479452055,17.6,30.28,-15.532914545275922,petroleo
1992,19.319699453551912,17.05,21.55,-3.5079083949008605,petroleo
1993,17.030520547945205,13.13,19.6,-11.848936424245682,petroleo
1994,15.820602739726025,13.0,19.03,-7.104408845360632,petroleo
1995,17.034520547945206,15.35,19.38,7.673018709780233,petroleo
1996,20.635983606557375,16.23,25.4,21.142145142714885,petroleo
1997,19.14372602739726,15.86,24.83,-7.23133729707911,petroleo
1998,12.780027397260275,9.1,16.28,-33.241692975702186,petroleo
1999,17.88041095890411,9.77,26.46,39.909018995821825,petroleo
2000,28.535300546448088,21.05,37.43,59.58973544865891,petroleo
2001,24.45613698630137,16.51,30.68,-14.295148402263703,petroleo
2002,24.98254794520548,18.17,32.02,2.1524697837559836,petroleo
2003,28.865835616438357,23.23,34.94,15.544001675690321,petroleo
2004,38.14051912568306,29.02,52.28,32.13031360839251,petroleo
2005,54.33194520547945,38.93,67.26,42.45203382376985,petroleo
2006,65.10008219178081,55.82,78.26,19.819163377230574,petroleo
2007,72.25898630136986,49.95,95.66,10.99676662235134,petroleo
2008,97.21737704918033,33.73,143.95,34.54018942878157,petroleo
2009,61.286136986301365,34.16,78.68,-36.95968884729535,petroleo
2010,79.46115068493151,67.18,93.63,29.65599496455882,petroleo
2011,111.3065205479452,92.5,126.64,40.076653293484995,petroleo
2012,111.60073770491805,88.69,128.14,0.26433056709027625,petroleo
2013,108.64079452054794,96.84,118.9,-2.6522613069068113,petroleo
2014,99.30221917808218,55.27,115.19,-8.595827546805623,petroleo
2015,52.54301369863014,35.26,66.33,-47.08777494246841,petroleo
2016,43.506229508196725,26.01,54.95,-17.198831118187297,petroleo
2017,54.193917808219176,43.98,66.8,24.565880382736573,petroleo
2018,71.04865753424657,50.57,86.07,31.10079582301608,petroleo
2019,64.28424657534246,50.57,74.94,-9.520814598985993,petroleo
2020,41.83751366120219,9.12,70.25,-34.91793730184306,petroleo
2021,70.67909589041096,50.37,85.76,68.93713250449412,petroleo
2022,100.95794520547946,76.02,133.18,42.83989337104188,petroleo
2023,82.52019178082192,71.03,97.1,-18.262805752564827,petroleo
2024,81.28515151515151,70.31,93.12,-1.4966521999254967,petroleo
